,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
891,Now,Furnished,Female preferred,Eccles (M30),3 months,1 month,['£450 pcm'],Monton Village private sunny double room/ensuite,Double room,[450],450.0,M30
892,Now,Furnished,Males or females,Fallowfield (M14),6 months,6 months,['£433 pcm'],Cosy attic room in friendly sociable house,Double room,[433],433.0,M14
893,Now,Furnished,No info,Salford (M6),None,1 month,['£143 pw (whole property)'],Iq Salford Silver Ensuite Double Bed,1 bed flat,[572],572.0,M6
894,02 Jan 2019,Furnished,Males or females,Sale (M33),None,3 months,['£500 pcm'],Double room available,Double room,[500],500.0,M33
895,25 Jan 2019,No info,Males or females,Chorlton (M21),None,None,['£500 pcm'],Double room in friendly house,Double room,[500],500.0,M21
896,02 Jan 2019,Furnished,Female preferred,Stretford (M32),None,3 months,['£485 pcm'],Spacious Dbl room with ensuite in family home,Double room,[485],485.0,M32
897,14 Jan 2019,Furnished,Female preferred,Didsbury Village (M20),6 months,6 months,['£470 pcm'],Room available in 3-bedroom flat in Didsbury,Double room,[470],470.0,M20
898,Now,No info,Female preferred,Manchester City Centre (M4),None,None,['£550 pcm'],Double Bedroom In Green Quarter,Double room,[550],550.0,M4
899,02 Dec 2018,Furnished,Males or females,Manchester (M8),None,6 months,['£300 pcm'],Spare room for rent,Single room,[300],300.0,M8
900,12 Dec 2018,Furnished,Males or females,Burnage (M19),None,6 months,['£300 pcm'],Room in Big 3 Bed House- £300 Available December,Double room,[300],300.0,M19
901,Now,Furnished,Males or females,Withington (M20),12 months,6 months,"['£385 pcm', '£285 pcm']",Creative Looking For House Mates (South Manc),Double room,"[385, 285]",335.0,M20
902,Now,Furnished,Males or females,Rusholme (M14),5 months,5 months,['£350 pcm'],Room for Rent - for Student in Rusholme,Double room,[350],350.0,M14
903,Now,Furnished,Males or females,Salford (M5),None,6 months,['£529 pcm'],Available Now  Double Bedroom 3 Bedroom Apartment,Double room,[529],529.0,M5
904,07 Dec 2018,Furnished,Female preferred,Salford (M3),12 months,6 months,['£525 pcm'],King Size ensuite by the arndale,Double room,[525],525.0,M3
905,Now,Furnished,Males or females,Denton (M34),None,2 months,['£525 pcm'],Very Clean Large Room En Suite Available Now.,Double room,[525],525.0,M34
906,Now,Furnished,Female preferred,Whalley Range (M16),None,6 months,['£375 pcm'],Female Tenant,Double room,[375],375.0,M16
907,18 Dec 2018,Furnished,Males or females,Manchester (M13),None,8 months,['£99 pw'],Nicely Furnished Large Double Room with Bills inc.,Double room,[396],396.0,M13
908,Now,Furnished,Males or females,Salford (M6),None,None,['£711 pcm'],X1 the Campus Student Flat,Single room,[711],711.0,M6
909,Now,Furnished,Males or females,Chorlton (M21),None,5 months,['£358 pcm'],Double Room - Chorlton House Share,Double room,[358],358.0,M21
910,Now,Furnished,Males or females,Whalley Range (M16),None,None,['£100 pw'],Lovely room in quiet Whalley Range borders,Double room,[400],400.0,M16
911,01 Dec 2018,Furnished,Males or females,Fallowfield (M14),None,6 months,['£280 pcm'],Double room house share.House newly built,Double room,[280],280.0,M14
912,Now,Furnished,Males or females,Radcliffe (M26),None,3 months,['£350 pcm'],Double Room in newly decorated/furnished house All,Double room,[350],350.0,M26
913,Now,Furnished,Males or females,Ladybarn (M14),None,6 months,['£450 pcm'],Double Room in Withington available NOW,Double room,[450],450.0,M14
914,Now,Furnished,Males or females,Hulme (M15),None,6 months,['£250 pcm'],Friendly housemate wanted!,Double room,[250],250.0,M15
915,Now,Part Furnished,No info,Blackley (M9),None,1 month,['Potential Buddy Ups'],450 Double  NO DEPOSIT. Bills Inc.,4 bed house,[],,M9
916,Now,No info,Males or females,Atherton (M46),None,None,['£450 pcm'],Double room in Atherton,Double room,[450],450.0,M46
917,Now,Furnished,Males or females,Manchester City Centre (M1),2 months,None,['£130 pw'],"City Centre Double, Interior Brick, Newly Done",Double room,[520],520.0,M1
918,Now,Furnished,Female preferred,Eccles (M30),None,1 month,['£400 pcm'],1 Single room to rent,Single room,[400],400.0,M30
919,03 Dec 2018,Furnished,Males or females,Manchester City Centre (M4),36 months,6 months,['Potential Buddy Ups'],2 bed duplex top floor flat in a converted mill,2 bed flat,[],,M4
920,20 Dec 2018,No info,Males or females,Manchester City Centre (M4),None,1 month,['£550 pcm'],Double Room with Own Bathroom in Green Quarter,Double room,[550],550.0,M4
921,Now,Furnished,Males or females,Salford (M5),None,3 months,['£400 pcm'],Nice and Clean,Double room,[400],400.0,M5
922,15 Dec 2018,Furnished,Males or females,Wythenshawe (M22),None,3 months,['£450 pcm'],Furnished Double Bedroom Close to the Airport,Double room,[450],450.0,M22
923,Now,No info,Males or females,Salford (M7),None,None,['£500 pcm'],Bedroom to Rent,Double room,[500],500.0,M7
924,01 Dec 2018,Furnished,Males or females,Eccles (M30),None,2 months,['£450 pcm'],Home with a Hot Tub (9 Mins from City Centre),Double room,[450],450.0,M30
925,Now,Furnished,Female preferred,Prestwich (M25),None,None,['£100 pw'],Spare room in family home,Single room,[400],400.0,M25
926,Now,Furnished,Males or females,Openshaw (M11),12 months,6 months,"['£75 pw', '£100 pw']",Small or Double room for rent,Single + double,"[300, 400]",350.0,M11
927,Now,Furnished,Males or females,Rusholme (M14),None,None,['£400 pcm'],Room to let,Double room,[400],400.0,M14
928,19 Dec 2018,Furnished,Female preferred,West Didsbury (M20),None,12 months,['£520 pcm'],Room for rent in West Didsbury,Double room,[520],520.0,M20
929,Now,Furnished,Males or females,Ardwick (M13),None,9 months,['£375 pcm'],Excellent Double Room Close to Manchester Uni,Double room,[375],375.0,M13
930,01 Jan 2019,Furnished,Males or females,Fallowfield (M14),6 months,None,['£409 pcm'],"2 Rooms for Rent, Student Home, Jan-June 2019",Double room,[409],409.0,M14
931,12 Dec 2018,Furnished,Males or females,Manchester (M13),None,6 months,['£330 pcm'],M13 Finished room Bills Included,Double room,[330],330.0,M13
932,11 Dec 2018,Furnished,Males or females,Manchester City Centre (M1),24 months,6 months,['£395 pcm'],A Nice Single Room in City Centre,Single room,[395],395.0,M1
933,Now,Furnished,Males or females,Cheetham Hill (M8),None,None,['£250 pcm'],Single Room to Rent,Single room,[250],250.0,M8
934,Now,Furnished,Males or females,Radcliffe (M26),None,None,['£350 pcm'],Double room 7 miles M/CR centre,Double room,[350],350.0,M26
935,Now,Furnished,Males or females,Eccles (M30),6 months,1 month,['£95 pw'],Double Room to Let,Double room,[380],380.0,M30
936,01 Dec 2018,No info,Males or females,Rusholme (M14),None,None,['£350 pcm'],One Double Room_Short & Long Stays Bill Inc,Double room,[350],350.0,M14
937,12 Dec 2018,Furnished,Female preferred,Rusholme (M14),None,None,['£60 pw'],Nice bedroom,Double room,[240],240.0,M14
938,10 Jan 2019,Furnished,Males or females,Radcliffe (M26),None,6 months,['£95 pw'],Luxury House Share - 3 Minutes Walk to Metrolink,Double room,[380],380.0,M26
939,08 Dec 2018,Furnished,No info,Manchester City Centre (M1),None,9 months,"['£1,096 pcm (whole property)']",1 bedroom apartment - inner city living,1 bed flat,[1096],1096.0,M1
940,01 Dec 2018,Furnished,Female preferred,St Georges (M15),None,None,['£700 pcm'],Room with Own Private Bathroom and Car Parking,Double room,[700],700.0,M15
941,Now,Furnished,Female preferred,Swinton (M27),None,3 months,"['£100 pw', '£100 pw']",Happy Home!,2 singles,"[400, 400]",400.0,M27
942,Now,Furnished,Males or females,Salford (M6),None,5 months,['£470 pcm'],"Heights Of irlam, 2 Miles Media City",Double room,[470],470.0,M6
943,08 Jan 2019,Furnished,Males or females,Chorlton (M21),None,None,['£360 pcm'],"Double room in friendly house share, fab location!",Double room,[360],360.0,M21
944,02 Jan 2019,Furnished,Males or females,Ancoats (M4),None,None,['£500 pcm'],Monday-Friday let-10 min walk from Piccadilly,Double room,[500],500.0,M4
945,01 Feb 2019,Furnished,Males or females,West Didsbury (M20),None,None,['£415 pcm'],Great Location,Double room,[415],415.0,M20
946,01 Dec 2018,Furnished,Males or females,Levenshulme (M19),None,None,['£288 pcm'],Double room to Rent in Levenshulme,Double room,[288],288.0,M19
